,0,1,2,3,4,5
0,loss: ,44.56279754638672,", loss_sup: ",44.55807876586914,", loss_usup: ",0.0047193486243486404
1,loss: ,54.94157028198242,", loss_sup: ",54.9381217956543,", loss_usup: ",0.003449746873229742
2,loss: ,36.747779846191406,", loss_sup: ",36.7447624206543,", loss_usup: ",0.0030184336937963963
3,loss: ,54.828521728515625,", loss_sup: ",54.82608413696289,", loss_usup: ",0.002436637179926038
4,loss: ,47.754459381103516,", loss_sup: ",47.75309371948242,", loss_usup: ",0.001366007374599576
5,loss: ,48.85506820678711,", loss_sup: ",48.851566314697266,", loss_usup: ",0.0035027991980314255
6,loss: ,42.226776123046875,", loss_sup: ",42.225467681884766,", loss_usup: ",0.0013090213760733604
7,loss: ,58.41719436645508,", loss_sup: ",58.414573669433594,", loss_usup: ",0.002622399013489485
8,loss: ,45.74007797241211,", loss_sup: ",45.73775100708008,", loss_usup: ",0.002328081987798214
9,loss: ,30.833463668823242,", loss_sup: ",30.831192016601562,", loss_usup: ",0.002271086210384965
